P45985	Q14315
Q9UI14	Q9UNI6
Q12933	Q9BQA5
Q15834	Q9UPT5
Q96D59	Q9BQD3
Q8N5Z5	Q8TBB1
Q15834	Q15906
Q9H267	Q9H9C1
Q8TBB1	Q92841
Q15555	Q9GZT8
Q9BV68	Q9Y2X8
Q14919	Q92569
Q13643	Q8TBB1
P51808	Q96BS2
O75604	Q12933
P31947	Q12788
P19012	Q9BVI4
Q03393	Q03393
Q13435	Q15427
Q99750	Q9UQ90
P07910	Q9P0T4
P60520	Q9GZZ9
P07910	P51116
O43663	O94972
Q9UJX2	Q9Y3Q8
P52306	Q9Y4E5
P37198	Q9Y3C0
P07910	Q93100
P51116	Q9Y3Q8
O14978	Q8WV44
P19012	Q9BTA9
Q9UHX1	Q9UHX1
Q8TAU3	Q9P209
Q8N6Y0	Q9H204
Q96HT8	Q99598
P14136	Q96HL8
O60936	Q9GZT8
P52737	Q99750
P63010	Q9NVZ3
Q15834	Q96EZ8
O95865	Q15645
O94972	P53618
P25791	Q15038
Q15041	Q9BT40
P36406	Q8TBB1
Q7Z6G3	Q8TBB1
O43281	O75865
Q06455	Q0VDD7
Q15050	Q92624
Q96HA8	Q9UL45
Q86SE5	Q9H9D4
O43597	Q6UY14
P60891	Q9NZD8
O15155	Q8N6Y0
Q9BQD3	Q9NYH9
P08651	Q9H0I9
P06731	Q01844
Q6ZVK8	Q9BQ66
Q8N684	Q96CN9
Q5T013	Q8IYF3
Q6RW13	Q9UKF7
Q01844	Q9HC44
P43364	Q8N131
Q15102	Q8WUX9
P05783	Q15834
Q8N6L0	Q9NVE4
Q01844	Q8N6R1
P51116	Q9BQD3
Q14966	Q15834
P43364	Q9BXY8
P50402	Q8N7W2
P56597	Q96IM9
Q13137	Q2VPB7
Q8N715	Q96LR2
Q6ZVK8	Q9UI14
Q15311	Q96ED9
O75716	P49247
Q5T5P2	Q9NQT4
Q8IV36	Q96D15
Q12933	Q9C0A6
P37235	Q86UW9
Q9UHA3	Q9UJW3
Q12933	Q969F0
Q15102	Q9H190
Q12933	Q8N2X6
P0CAP2	Q9NVV9
Q6EEV4	Q9NVV9
O14641	Q8TAD8
Q12933	Q8TBE0
O14641	P49674
Q96EK5	Q96S99
Q7Z7J5	Q96CW1
Q15834	Q9UFG5
O60504	Q6UY14
P43364	Q9BQ70
Q99750	Q9H7H0
O14641	O43395
P24534	P26641
P26641	Q12905
P46926	Q01844
O95251	Q13137
O00151	P08670
Q15038	Q9BSL1
P0DPQ6	Q9BTE3
P35638	Q9BTE3
Q9NS73	Q9Y2J2
O95197	Q9H8W4
Q8N184	Q9NYL2
O14639	Q9Y3Q8
O95336	Q99750
O00308	P50552
Q15834	Q96CN9
O43765	Q96SL4
Q12846	Q15836
P50222	P52198
P14373	Q9BUH8
O00161	O76038
Q9NX65	Q9P0L1
O76064	Q15834
P63279	P78364
Q8NHQ1	Q9H9D4
O15162	O43597
O00308	Q9NR12
P21673	Q8TBB1
Q96AT9	Q96AT9
Q00587	Q9BQ66
P43364	Q96LM6
P36575	Q96IT1
Q92630	Q9Y620
Q8NEC5	Q99750
Q9NTM9	Q9NTM9
Q01844	Q0VDD7
O00204	P49888
Q13643	Q6UY14
Q15834	Q86SE5
O14964	Q8N5R6
P51116	Q9Y4E5
Q6IA69	Q96JP2
P22234	P22234
P17152	Q12983
O75971	Q16520
P16444	Q96EK5
Q6ZVK8	Q96CN4
P42229	P43365
O43639	Q9NZQ3
P62244	Q9UKW6
Q9BQ66	Q9BXY8
Q6ZVK8	Q9H446
P40692	Q96NE9
Q15645	Q96JB6
O75716	Q8N5Z5
Q13136	Q9NS73
Q9NWS9	Q9UMX1
P19012	Q9BY27
Q12874	Q15834
P56545	Q15583
P08670	P25786
O75791	P62258
Q15834	Q96N46
P13805	Q96E35
P43355	Q9NR46
P63279	Q9H444
P61601	Q86UW9
Q8N302	Q9UL45
Q8HWS3	Q8TAP4
Q9BQ66	Q9NRQ2
O14964	Q9BUH8
P13805	P62195
P33993	Q9NS73
O94972	Q6ZU52
Q15555	Q15555
P43364	Q96T60
O75886	Q969R5
P50542	Q5T2W1
P54920	Q9NQC3
Q96EQ0	Q9Y5P3
P50222	Q9BQ66
Q8NFT6	Q9BQ66
O14641	Q8TBE0
O75348	P63010
O60504	O96006
P61289	P61289
Q01844	Q14576
Q9NYB9	Q9Y3C0
O75461	Q14186
Q8NHQ1	Q9BUY5
P43364	Q8NDB6
Q93062	Q96LM6
Q9UHY1	Q9Y3Q8
P61952	Q9Y2J4
Q9H4K1	Q9Y2I6
Q15834	Q9BWG6
Q9H4K1	Q9UHY1
O60504	P24278
P49674	Q9Y620
O95751	Q9BVJ6
Q8TBB1	Q9Y3Q8
Q13643	Q14847
Q4U2R8	Q92624
Q7L590	Q9P209
Q5JR59	Q8N720
P46108	P62333
P26378	Q01844
O14641	P04637
O76003	Q6UY14
P32929	P32929
Q8WYJ6	Q9H0E2
Q9UJ70	Q9UJ70
Q01844	Q8N6C8
Q99750	Q9HB75
Q15834	Q9P0W2
O60941	Q9NRG1
P62829	Q9P287
Q15834	Q6B8I1
Q15834	Q9UII6
P78337	Q9BQY4
P19012	Q6PKC3
Q9NTM9	Q9NZD8
P12277	Q8N6R1
O00506	Q9BUL8
P78324	Q9C040
Q96MF2	Q96MF2
Q8N6Y0	Q8N6Y0
Q9BQY4	Q9BRK4
P43364	Q8TDX5
O15015	Q99750
Q08379	Q14134
Q8N5R6	Q96ED9
P14927	P43355
O75525	Q9Y580
Q99750	Q9NQX5
Q9H8W4	Q9UI14
P43364	Q8IYD9
Q9BX82	Q9BX82
P17509	P19012
P55735	Q96JE7
Q8TBK6	Q96MF2
Q8IYR0	Q99750
P81877	Q86U70
Q15038	Q9BQY4
Q93062	Q9BTL3
Q96H86	Q9UMX1
P33552	Q9Y3Q8
Q16828	Q8IYF3
Q96EZ8	Q9NPJ6
Q13137	Q9BSM1
O94989	Q9H6J7
O15162	P50552
O95486	Q15645
O14641	O95817
O94817	Q99750
P19012	Q9P1Z2
O14964	Q96LR2
Q9NPQ8	Q9UMX0
Q96PP8	Q96PP8
O43298	Q8TBB1
Q00587	Q9BPZ7
P43358	Q86WT6
P42568	Q92624
O15062	Q15834
P35900	Q9Y2J4
O95967	P27658
P63010	Q7Z3B4
Q96D15	Q9P2K6
Q14781	Q99750
Q92609	Q96CW1
Q01844	Q92934
Q15645	Q53HV7
P57086	Q9P0L1
Q9BVM2	Q9Y230
P51808	P51808
Q5T5P2	Q8IYF3
P56279	Q13137
Q13287	Q8N4P3
Q13200	Q8WVY7
O14978	P57086
Q96ED9	Q9H8T0
Q9BQ66	Q9NQX5
P49760	P49761
Q8TAU3	Q99750
O95751	P51116
Q9H190	Q9NZ81
P32321	Q6ZVK8
P55273	Q9HA65
Q9H4D5	Q9UKK6
O60504	Q8N684
Q99750	Q9H1D0
O75716	Q6UY14
P29972	Q8N5Z5
P25791	Q96KQ7
Q8IY31	Q9NYB9
Q14134	Q8NHQ1
P33992	Q99750
O14964	Q15038
P26368	Q8N7W2
P50552	Q9C026
O14964	P63279
P51116	Q99708
Q14376	Q14376
Q00796	Q00796
O75525	P61978
P61978	Q5VWX1
Q92692	Q99750
P14136	Q96HA1
P17028	Q9NX65
Q01844	Q96M83
Q08E93	Q99750
O43809	Q16630
Q9P209	Q9UM82
P07910	Q13526
Q15834	Q16718
O43889	Q13021
P63279	Q9Y620
Q01844	Q9Y676
O96006	P63279
Q7Z3B3	Q7Z6G3
Q13137	Q96GM5
Q9NPA3	Q9UMX1
O95197	Q14088
O14639	Q8N6Y0
O43281	O60504
Q0VDD7	Q9BT78
Q2VPB7	Q9NR12
Q2VPB7	Q8N5I3
Q15834	Q5T0L3
Q13137	Q8IYF1
P63010	Q9NYB0
P38159	P51116
Q15233	Q9P1U0
O14639	Q13137
Q96S44	Q9Y3C4
P81877	Q9UBH0
P25786	Q15834
Q92530	Q9BV68
Q59EK9	Q9BXS5
O14641	Q12933
P04424	P47897
O75830	Q9UMX0
O15162	Q00587
O60573	Q9BQ66
Q96C03	Q9UI14
O00221	P14923
Q7L590	Q7Z7J5
Q96EZ8	Q9Y3C0
P19012	Q96HB5
O60238	Q12983
O14879	Q05D60
Q12933	Q9BRK4
O95251	Q9Y2I6
O75791	P14136
O75427	Q99750
Q01844	Q9H467
Q96GT9	Q96KQ7
Q99576	Q9H8W4
O95967	Q9UMX0
P14136	Q9H4K1
Q96CN9	Q9Y2I6
P23297	Q9GZT8
O95990	Q96ED9
O14879	O14879
O43765	Q9BXJ1
O00295	P50222
O00167	Q93062
Q8N5R6	Q9Y3Q8
Q8N6Y0	Q8TAB5
Q14919	Q16594
Q93062	Q9BRR9
P41220	Q9Y2I6
Q13137	Q13137
P36406	Q9P0T4
O43395	Q9C005
Q0VDD7	Q0VDD7
P12814	P43364
Q8N8B7	Q9Y620
Q9BQD3	Q9UJ41
Q8WXS3	Q99750
Q06547	Q96M61
P43364	Q8TAP6
Q9H8W4	Q9NS73
Q01658	Q9NRF9
P54920	Q13190
Q13137	Q9H0I2
Q7Z6G3	Q9HC98
P49910	Q9BQ66
Q8N371	Q99447
Q66K89	Q96KQ7
Q5D1E8	Q9NZD4
Q9BT04	Q9BU20
O94972	Q8TAU3
O60232	Q9BVI4
Q7Z7J5	Q8TBK6
P48552	Q8NHQ1
Q13137	Q9BUY5
Q8N612	Q96HR9
P43364	Q8N8B7
Q8N6Y0	Q9UGJ1
O75971	P46736
Q8N715	Q9NR12
Q13137	Q9BVV2
Q96A72	Q9Y2J4
Q53EZ4	Q99816
O43791	P28702
Q8IYI8	Q99750
P14317	Q9H788
P43364	Q96JH8
Q15834	Q8IYI6
O15389	Q15645
Q01844	Q6PJW8
Q9NRS6	Q9UI14
O14576	Q9NP97
Q9BT78	Q9NS73
Q8TAP4	Q99750
Q96MA1	Q9GZT8
Q8IYF3	Q9BT92
P13994	Q9Y2I6
Q15233	Q15233
Q06455	Q7Z6G3
P19012	Q9H4K1
P18848	Q96EY7
Q9BQ66	Q9UBX3
Q16851	Q16851
O14641	O14978
P49910	Q86V42
O43809	Q92530
P57081	Q9UBP6
P36382	Q9Y312
P53672	Q9P1Z2
O60504	Q92841
O00204	Q96Q35
Q15645	Q9NZF1
O15162	Q9P0T4
P30626	Q13137
Q9BPX1	Q9BPX1
P49902	P49902
P60981	P63261
Q13526	Q93062
P45381	P45381
O95967	Q9Y4C2
Q9H4K1	Q9Y620
O75525	Q5VWX1
Q14566	Q8WYH8
P43358	Q8WW24
P10644	Q9H8W4
O14641	Q93062
Q8TBE0	Q92997
Q13643	Q15654
Q49AR2	Q9Y2W2
P49901	Q9BQ66
P51116	Q96EZ8
Q9BQY4	Q9Y2Y4
Q8NEF3	Q96LR2
Q15834	Q9BVJ6
Q8N7W2	Q92530
P62333	Q8TAB5
Q86U70	Q9H0E2
Q15834	Q9H0I2
P19012	Q8TCX5
Q92997	Q9H9D4
Q9NQC3	Q9NZD8
P61457	Q9H8Y8
Q13137	Q14296
Q5JR59	Q8TAB5
Q96KQ7	Q9BT49
O76003	Q6FI81
O15162	P31269
O75909	Q9BQY4
O14641	Q9H0I2
P29972	Q9BQ66
O95639	Q6UN15
P60891	P60891
O95990	P19012
O60637	Q01844
P51116	Q14134
P48552	P56545
P19012	Q7LC44
P51116	Q8N5R6
Q13287	Q9XRX5
O00165	O00303
O43639	Q15427
Q9UBZ4	Q9Y2I6
O95251	Q8WZ19
Q5M9N0	Q9NR46
Q9BVI4	Q9Y3Q8
P52272	Q9BQ04
O95391	Q15834
O60941	Q9BUH8
P55039	Q9H446
Q96EF0	Q96QG7
P30039	Q15645
Q08209	Q96GX8
P14136	Q5T2W1
A9UHW6	Q9NUU7
O95967	P49639
Q01844	Q7Z6B0
O94972	Q7L590
P11802	Q9NP79
Q05516	Q8TC92
O43566	Q12933
O95990	Q9BUH8
Q9BRC7	Q9UI26
P60891	Q9H8Y8
P55345	Q96MA1
Q12933	Q16526
Q5M9N0	Q96ES7
Q9GZT8	Q9UI14
O15162	Q9UBP5
P38159	Q14011
Q15834	Q8NHQ1
Q12933	Q96IX9
O95967	Q9BUY5
O95751	Q96GM5
O43251	Q96MA1
Q9BUH8	Q9NTW7
Q12933	Q13137
O43639	Q13191
Q9UI14	Q9UI14
P62760	Q96AQ9
P51116	Q9NQC3
Q03518	Q99750
O96015	Q5TD97
P49321	Q71DI3
Q9HCS7	Q9UNP9
Q92997	Q96L94
O94829	Q15699
P30279	P46527
P14136	Q96JP2
Q13352	Q9Y5P4
Q9BQ66	Q9H9D4
Q8NCU1	Q96BD8
P43364	Q96CB9
Q7L190	Q7Z7J5
P42224	Q8N9N8
P35613	Q9NR12
Q5TA45	Q99750
O14641	Q96BN8
Q8IYF3	Q96HA1
P55345	Q8N684
O43683	O95376
Q12933	Q13490
Q53H80	Q8TBB1
P49910	P57086
O94972	Q01844
Q15645	Q9GZT8
Q8TBB1	Q9BQD3
P51116	Q9Y2J4
Q5M9N0	Q9UJ70
O15162	Q9NRY6
O60269	Q96FJ2
O75340	O75340
O43251	Q93062
Q15038	Q8N9H8
Q96KQ7	Q9Y4X4
O15372	Q15834
Q99750	Q9P0T4
Q16630	Q9BSL1
Q01844	Q9Y2I6
Q13526	Q99708
O95214	Q96E93
O43765	Q8TCT8
Q12788	Q92624
Q01844	Q96CW9
Q8WWB3	Q9C005
P26368	Q7Z7J5
O75865	P49639
P51116	Q15041
P07902	Q15645
O43924	P54725
Q8N720	Q9BQ66
P61077	Q9HCM9
O15162	Q92734
Q8IYF1	Q9NX45
Q15834	Q92530
Q53HV7	Q93062
O15162	Q6UY14
P00966	P00966
Q96C03	Q9UMX0
P61225	Q59EK9
Q15555	Q9UPY8
P14373	P43364
O14641	Q9BXS5
O14964	O75886
O60706	P26641
P55036	Q8NHQ8
Q96H20	Q9GZT8
P17482	Q93062
P48723	Q9UMX0
Q9P2K6	Q9UMX0
O00161	P51116
O94972	Q96EZ8
Q01844	Q8N684
P37198	Q9NVV9
P41227	Q96KQ7
O95817	Q9UJY1
Q6ZVK8	Q9BPX1
Q9H832	Q9H8W4
Q8NE01	Q99750
O95336	Q01844
Q8TES7	Q9UGJ1
O95810	Q9H8W4
Q9BSW7	Q9Y3Q8
Q96ED9	Q9H4K1
Q9H8E8	Q9NS73
P08670	Q9HD26
P43364	Q9H788
Q9Y2J4	Q9Y2J4
Q96IJ6	Q9Y5P6
Q14847	Q99750
O95817	Q15038
Q13287	Q9Y6C2
O60711	P49639
O60238	P17152
O95990	Q9BQ66
Q7L590	Q9Y2I6
O75865	Q9Y620
P15622	Q9Y2I6
O75791	Q9BQ66
P0CAP2	P53567
P53567	Q6EEV4
Q8N8B7	Q9Y2I6
Q15834	Q9UBZ4
P38936	Q15834
Q13643	Q9BTD8
Q96AQ9	Q9Y6D9
O60232	P48643
P19012	Q8TBB1
O14964	O43513
O43791	P0DPQ6
O43791	P35638
O95751	Q15834
Q96H86	Q99750
Q99594	Q9GZV5
Q8N715	Q99750
O60504	Q13191
P07910	Q9BXS5
O75150	Q09161
O15162	Q12906
Q8NA61	Q9UGJ1
P48552	Q12933
P51116	Q9NS73
P25963	Q96HA1
P07992	Q96S82
P49247	P51116
O00233	P62333
Q8N6Y0	Q9BVI4
O15162	Q9NQX5
P42772	P43364
P46527	Q12933
O00308	Q16630
O14777	Q8N6Y0
P62495	Q14145
Q7Z3B3	Q8NHQ1
Q15834	Q9H8W4
Q01844	Q9C0D9
Q8IVL1	Q8WYH8
Q12929	Q15154
P49903	P49903
O94972	Q6ZVK8
Q9BQD3	Q9GZT8
Q99750	Q9P2T0
O14641	O60504
P60660	Q01844
O75909	Q9BQ66
Q12933	Q13572
P43364	Q49A88
Q05516	Q9BQ66
P63279	Q14134
P43364	Q8NEG5
P19012	Q6ZVK8
Q8WWR8	Q93062
Q7Z3B3	Q8N6Y0
Q6UY14	Q9ULA0
Q13137	Q9H9D4
Q96FJ2	Q9P2Z0
Q6ZVK8	Q8N5Z5
Q15645	Q9NTN9
Q9BQ66	Q9P0T4
Q01844	Q13485
O95391	Q9H2H8
Q8N2M8	Q9BQY4
P37235	Q9NP66
Q93062	Q9NQ87
P43364	Q15560
Q06547	Q8NHU6
Q6ZMV9	Q92624
Q7Z7J5	Q92997
Q9BQY4	Q9BUX1
O43765	Q9H2B2
Q9GZT8	Q9H773
O14964	P05783
Q8TBB1	Q92997
P05783	Q9Y5B8
O14978	Q9Y5B8
P22234	Q6ZVK8
P38159	P61978
Q15654	Q96I34
P23497	P63165
O75909	Q07002
Q15645	Q9NRY6
P0CG13	Q13541
P25786	Q8N5Z5
Q8NHQ1	Q9H0I2
Q14134	Q9Y6D9
P10074	Q92997
P09467	Q96D59
O43765	Q12805
O75604	Q9BUH8
Q5HYJ3	Q9BQ66
Q8TBB1	Q96KQ7
Q15645	Q5TA45
O15162	Q8TC90
Q9NP66	Q9Y580
O14604	Q01844
O14978	Q9UMX1
Q96EC8	Q9BWQ6
P33316	Q6ZVK8
P10644	Q9ULZ3
P62937	Q9NZ81
P51116	Q15233
O43639	Q9Y2W2
O15287	Q8N6Y0
Q8N5R6	Q96KQ7
O75909	Q9NP66
Q8N5Z5	Q8N5Z5
O43639	Q16630
Q15834	Q8NE31
O14777	Q9Y2J4
Q8TBK6	Q9NVV9
Q8N5Z5	Q9UGJ1
Q9BSR8	Q9GZM5
Q9BQ66	Q9BYR7
O95967	Q8TCX5
Q96HC4	Q9HCM9
Q8N6Y0	Q9UPT5
P26599	P26599
P19012	Q14966
Q9GZT8	Q9Y3Q8
Q9Y2J4	Q9Y6D9
O43439	Q99750
P55040	Q9NR12
Q01844	Q9NQA5
P15104	P15104
Q8IZC7	Q99750
P02792	P02794
O95201	Q12933
Q86YM7	Q9BW04
Q92624	Q92824
Q5T124	Q8IYR0
Q92624	Q9NZZ3
Q15645	Q96HA8
P78337	Q92997
P13994	Q12933
P61457	Q9GZT8
Q8WVY7	Q9Y3Q8
P62191	Q15834
P19012	Q9Y2J4
P19012	Q14533
O15162	Q96H86
Q96HA8	Q9UI14
O14978	Q9H8W4
P49910	Q9NR12
Q01844	Q03426
Q9Y620	Q9Y620
Q08379	Q96HA1
Q15834	Q9H257
Q12929	Q96ED9
O95967	Q14966
P57077	Q13227
O00423	Q9H9L3
O14639	Q96ED9
P09619	Q9BQ66
Q12933	Q15306
Q8N456	Q8N5Z5
Q13137	Q15038
Q8NE01	Q93062
P27987	P61289
O15287	P08727
Q01844	Q8NDC0
Q99750	Q9ULA0
Q9BVV2	Q9NR12
Q8WTR7	Q8WV44
O75971	Q13287
Q9NP66	Q9NP66
P19012	Q8WW24
Q9P2K3	Q9Y2I6
Q13526	Q15233
P29972	Q15654
O95990	Q12933
Q01844	Q99750
P19012	Q9GZT8
P22234	Q8TBB1
O14641	Q9BQY4
P60228	Q59EK9
P30281	Q9H063
P43364	Q9UNH6
P16083	Q9H8Y8
P57739	Q9BQ66
P01282	P50222
O43739	Q9P1Z2
O43189	Q9NVV9
P17028	P57086
P63010	Q5VWP2
P49902	P51116
Q05516	Q8NHQ1
O95990	Q15834
P61978	Q96PU8
Q5T5P2	Q96CN9
Q01844	Q96QG7
P20807	Q7Z6G3
O14976	O60763
O43791	O95197
Q13137	Q8TCX5
O95967	Q9BQY4
Q9NWT6	Q9Y283
P19012	Q5T5P2
Q06455	Q9Y2W2
P52272	Q8TAP4
O15162	Q01844
Q8IYF1	Q8NHQ1
O14641	P15622
Q93062	Q96HA1
Q8N6Q3	Q9Y2W7
O15535	Q9NWS9
Q14005	Q96MA1
P33240	Q9UMX0
Q15834	Q53FD0
Q99576	Q9UM19
O95872	Q15834
O14964	Q9UMX0
P61077	Q9BV68
Q6UY11	Q9BQ66
Q01844	Q86SE5
P17482	P21673
P98170	P98170
P14136	Q9UGJ1
Q15834	Q96H86
Q5T3J3	Q9Y3T9
Q8IXK0	Q96EZ8
P0C1Z6	Q59EK9
Q15654	Q9H0B3
O00330	Q01844
P13805	Q9Y2I6
O43663	Q15834
Q8WV24	Q99750
Q12933	Q8TES7
Q8IYI6	Q8N6Y0
Q14558	Q9H8W4
P15104	Q6ZVK8
Q96GX9	Q96GX9
A0PJI9	Q01844
P37198	Q9H8Y8
Q8IYF1	Q9BQ66
Q8IUF8	Q8IUF8
Q99618	Q9GZU7
Q96LL4	Q99750
P42568	Q14566
Q7Z6G3	Q8N5R6
Q12933	Q15560
Q14919	Q9HBM6
Q15834	Q9BRJ6
P31947	Q15884
O60941	Q9NP66
P32242	Q9UKJ5
Q9H773	Q9H773
P15622	P36406
Q9GZT8	Q9NTM9
Q01844	Q9BQY4
Q8N8B7	Q9P0L1
Q15834	Q9H8S9
Q15834	Q9HB75
P21673	Q9NVL1
Q9BQY4	Q9NYH9
P07910	P63279
P45973	Q8IYF1
Q53TS8	Q8IYF3
P19012	P25786
P48730	Q92997
Q05516	Q15834
Q4V326	Q8NEA9
O60504	P61978
O15162	Q8N9H8
P48380	Q8HWS3
P07910	Q8TAP4
P53365	Q13352
P51116	Q5T5P2
Q15038	Q9H0M0
O43791	Q99836
Q9BQ66	Q9BYD3
Q15654	Q8N2X6
Q15834	Q9BVV2
P43364	Q15007
P19012	Q9NYB9
Q15154	Q9P209
Q8IYI8	Q9BQ66
O14964	O75478
O14639	P19012
P26368	Q9NVV9
Q14088	Q9NQC3
P42679	Q01844
Q0VDD7	Q13155
P06753	P0C1Z6
Q9C0F1	Q9P2A4
P08670	Q9H4K1
O43186	Q99750
Q9NS73	Q9Y2I6
Q01844	Q9Y467
P32242	Q93062
Q9UHR5	Q9UHX1
P31947	Q6ZU52
Q8N715	Q9BQD3
Q8TBB1	Q9Y620
Q15834	Q9NYK6
Q12933	Q6ZVK8
Q93062	Q9H0I2
O95751	Q9BXS5
O76083	O76083
P20809	P43364
P51116	Q7Z7J5
O15162	P26992
O94993	O95989
Q15038	Q93062
O95197	O95197
O15209	Q96EY1
P24666	Q9UHJ3
O94972	Q96KB5
O43707	Q9NP98
Q15427	Q9Y4C2
P49902	Q86TA1
P42229	Q9NRG1
Q7Z6G3	Q9BVI4
P61244	Q9H8W4
P32321	Q9GZT8
Q96ED9	Q9BVJ6
Q8NEC5	Q9UKJ5
P49914	Q9Y3Q8
Q15834	Q9Y3A3
Q15645	Q9BYR7
Q86SE5	Q96IZ5
O14777	Q9P1Z2
P28799	P49639
P09467	Q8TBB1
Q13137	Q9UBZ4
Q9C005	Q9C005
Q13287	Q9NVZ3
O95990	Q9Y2I6
P01019	Q01844
Q0D2I5	Q15027
Q15834	Q96LL4
P61457	Q96HA8
P54725	Q12933
Q9C026	Q9Y297
Q7L622	Q9NNW5
Q92624	Q9BT88
Q9H788	Q9UJU6
P63244	Q9Y3Q8
Q01844	Q16558
P62857	Q9BQ66
Q96FQ6	Q9HCY8
Q6ZVK8	Q9NTM9
O60711	Q96HA1
P43364	Q8N720
P35900	P51116
O15481	Q8IY81
P10398	Q53G59
Q9BUH8	Q9H0I2
P13805	P51116
Q9BQY4	Q9BQY4
P56545	Q92530
O60941	Q8ND30
Q8NEC5	Q9BQ66
P48552	Q15834
P51116	Q7Z6G3
O43765	P0CG04
Q96FE5	Q9BQ66
O00161	P54920
Q96CV9	Q9HA65
Q13137	Q9H0R8
O15162	P49901
Q8N6Y0	Q96HB5
O60936	Q9NVF9
Q9UGJ1	Q9Y6D9
P15407	Q9P1Z2
Q15645	Q9H4B4
O75558	O75558
Q15906	Q99750
Q8IXK0	Q9UHJ3
P19012	Q6ZU52
O60293	Q15834
P63279	Q9Y4E5
P26368	Q07955
Q96EV8	Q9BY27
Q15645	Q969Q4
Q15834	Q9H5Z6
P61978	P63279
O15162	O76003
O15162	Q96LJ7
Q96MT8	Q9BQD3
Q96SI9	Q9NVV9
O00444	O00444
Q8WVF5	Q8WVF5
P38159	Q92530
Q9H8W4	Q9UKJ5
P43364	Q8N715
O94941	P40692
Q96HA8	Q99708
Q15038	Q86YR5
Q15024	Q92551
P18206	Q15654
P05161	P41226
O15162	Q15038
O15162	Q14966
O15294	Q9H1M0
O15162	P78381
Q92530	Q9BQY4
O60232	P51116
O15162	Q05516
Q01844	Q9H5I1
P14136	Q8TAP6
P00492	Q9NRG1
P49639	Q15654
Q16206	Q8TC92
O75528	P45974
P26368	Q7Z7F0
P43364	Q9H204
P02792	P02792
P29972	Q15834
P49902	Q9BVI4
O95201	Q99750
P19012	P62195
O14641	P49910
Q5VWN6	Q5VWN6
Q8IUZ5	Q8IUZ5
Q03154	Q03154
O60269	P31947
O15482	Q12929
O43809	O43809
O95125	Q8WTR7
P78364	Q8IXK0
Q8WWB3	Q9UJV3
Q8TAP4	Q9NS73
Q8IYF3	Q9UNH6
P02766	P18848
Q15834	Q9NYH9
O95990	Q13137
O95967	Q03014
Q14134	Q96AA8
Q8WYJ6	Q8WYJ6
P0DPB5	P43364
P0DPB6	P43364
O95967	Q14005
O96006	P51606
O43639	P51116
Q96A09	Q9BQY4
Q13137	Q7Z3B3
P61019	Q8NEG0
Q7Z412	Q9UMX1
Q6ZU52	Q9H257
O95990	P08727
P54920	Q12846
Q15834	Q7Z3B4
P15622	P49910
Q9NQC3	Q9Y5P4
O15162	Q5T681
O76071	Q9H5X1
P19012	P41219
P35900	Q9BUW7
P19012	Q15013
Q16637	Q96HA8
O43379	P45984
O14641	O14641
O14641	Q9NVV9
O43597	Q9BQ66
Q06455	Q9HBM6
P26992	Q9BQ66
Q14134	Q96JP2
O43889	Q12982
Q8NA61	Q9C0F1
O60568	Q7Z7J5
Q96EZ8	Q9Y2W2
O43639	Q8N684
Q8WVP5	Q92997
O75971	O94818
Q8NA61	Q8NA61
P23511	Q92624
Q15038	Q96HB5
P0DPH7	Q13287
Q14134	Q8TES7
O43395	Q92997
P13798	P53990
Q9UMS4	Q9UPT5
P63010	Q9H4K1
Q14966	Q96ED9
O75150	Q9Y4E5
P62191	Q13200
P51116	P51116
Q05513	Q9NPB6
Q12933	Q96CG3
Q9H4D5	Q9NPJ8
P15531	Q13232
P35998	Q16401
P21673	P21673
P35249	P40937
Q12983	Q12983
P32321	P32321
Q9H5V7	Q9H5V7
P26368	Q15637
P60891	Q14558
P11234	Q15311
P40855	P56589
O75478	O75528
P00352	P00352
Q06323	Q9UL46
O75832	P43686
O15488	P13807
P30281	P46527
P62820	Q9UI14
P29034	P29034
P50539	P61244
O75525	Q8IUQ4
Q07817	Q13323
P11802	P42772
P63010	Q9Y6Q5
O75461	Q14188
O75791	O95630
O75886	O95630
O00161	O75558
P06730	Q13541
Q8WXD5	Q9H840
P12814	Q9NP98
O00151	O43707
P61019	Q08379
Q06587	Q8N488
Q12929	Q9UQB8
Q14749	Q14749
P11142	Q9NZL4
O43639	P61978
O14964	Q92783
Q12929	Q12929
Q14134	Q14134
P49736	Q14566
P55211	P98170
P35520	P35520
P15407	P17275
Q93088	Q93088
P04271	P23297
Q12933	Q12933
P0DPQ6	Q16520
P35638	Q16520
O75928	P63279
O43924	P36404
P26368	Q01081
P61586	Q07960
Q9Y6D9	Q9Y6D9
Q07817	Q16611
P63279	Q13485
Q15369	Q15370
P15531	P15531
Q7L523	Q9HB90
P14923	Q9NSA3
Q9UBU9	Q9UKK6
P09467	P09467
P30281	P38936
Q99816	Q9UK41
Q13867	Q13867
P29218	P29218
P11802	P30281
O14964	Q99816
O15287	O15360
Q96AP0	Q9NUX5
P23297	P26447
O75791	Q13094
P30626	P30626
Q14566	Q7L590
Q13257	Q9Y6D9
Q16637	Q16637
O15217	O15217
P0DPQ6	P53567
P35638	P53567
P63010	Q96CW1
P12004	P38936
Q96A72	Q9Y5S9
O43439	Q06455
P60709	P61601
O75821	Q99613
Q13155	Q13155
P30281	Q7L590
Q07817	Q99638
P33993	P33993
P17980	Q9NNW7
